H,Date,Hour Ending,Location ID,Location Name,Location Type,Locational Marginal Price,Energy Component,Congestion Component,Marginal Loss Component
D,5/1/2024,1,321,UN.FRNKLNSQ13.810CC,NETWORK NODE,23.4,23.54,0,-0.14
D,5/1/2024,1,322,UN.FRNKLNSQ13.811CC,NETWORK NODE,23.4,23.54,0,-0.14
D,5/1/2024,1,323,UN.FRNKLNSQ13.89CC,NETWORK NODE,23.4,23.54,0,-0.14
D,5/1/2024,1,326,UN.ALTRESCO13.8ALTR,NETWORK NODE,23.84,23.54,0,0.3
D,5/1/2024,1,327,UN.EDDY    34.5AMOS,NETWORK NODE,23.4,23.54,0,-0.14
D,5/1/2024,1,328,UN.GULFISLD34.5GULF,NETWORK NODE,22.95,23.54,0,-0.59
D,5/1/2024,1,329,UN.ASCUTNEY46  ASCU,NETWORK NODE,23.76,23.54,0,0.22
D,5/1/2024,1,330,UN.PEMIGWAS34.5AYER,NETWORK NODE,23.53,23.54,0,-0.01
D,5/1/2024,1,331,UN.ROXBURY 34.5AZIS,NETWORK NODE,22.89,23.54,0,-0.65
D,5/1/2024,1,335,UN.BELLWSFL6.9 BELL,NETWORK NODE,23.53,23.54,0,-0.01
D,5/1/2024,1,336,UN.BERLINVT34.5BERL,NETWORK NODE,23.56,23.54,0,0.02
D,5/1/2024,1,345,UN.9DRAGONS115 BOIS,NETWORK NODE,22.89,23.54,0,-0.65
D,5/1/2024,1,346,UN.MIDDLESX34.5BOLT,NETWORK NODE,23.65,23.54,0,0.11
D,5/1/2024,1,348,UN.PERRY_ST13.8BOOT,NETWORK NODE,23.62,23.54,0,0.08
D,5/1/2024,1,349,UN.BPT_RESC13.8BPTR,NETWORK NODE,23.44,23.54,0,-0.1
D,5/1/2024,1,355,UN.BRANFORD23  BRAN,NETWORK NODE,23.63,23.54,0,0.09
D,5/1/2024,1,356,UN.FORESTVL13.8BRF,NETWORK NODE,23.49,23.54,0,-0.05
D,5/1/2024,1,357,UN.ASHLAND 34.5BRID,NETWORK NODE,23.51,23.54,0,-0.03
D,5/1/2024,1,358,UN.TOPSHAM 34.5BRUN,NETWORK NODE,23.04,23.54,0,-0.5
D,5/1/2024,1,359,UN.BEARSWMP13.8BSW1,NETWORK NODE,24.49,23.54,0,0.95
D,5/1/2024,1,360,UN.BEARSWMP13.8BSW2,NETWORK NODE,24.49,23.54,0,0.95
D,5/1/2024,1,362,UN.BULLSBDG27.6BULL,NETWORK NODE,23.59,23.54,0,0.05
D,5/1/2024,1,363,UN.QUEENCTY13.8BURL,NETWORK NODE,24.01,23.54,0,0.47
D,5/1/2024,1,365,UN.CANAL   18.0CAN1,NETWORK NODE,23.74,23.54,0,0.2
D,5/1/2024,1,366,UN.CANAL   18.0CAN2,NETWORK NODE,23.74,23.54,0,0.2
D,5/1/2024,1,367,UN.CAPE    13.2CAP4,NETWORK NODE,23.03,23.54,0,-0.51
D,5/1/2024,1,368,UN.CAPE    13.2CAP5,NETWORK NODE,23.03,23.54,0,-0.51
D,5/1/2024,1,369,UN.LOUDEN  34.5CATR,NETWORK NODE,23.12,23.54,0,-0.42
D,5/1/2024,1,370,UN.COSCOB  13.8CC10,NETWORK NODE,23.64,23.54,0,0.1
D,5/1/2024,1,371,UN.COSCOB  13.8CC11,NETWORK NODE,23.64,23.54,0,0.1
D,5/1/2024,1,372,UN.COSCOB  13.8CC12,NETWORK NODE,23.64,23.54,0,0.1
D,5/1/2024,1,375,UN.TAUNTON 13.8CL9C,NETWORK NODE,23.63,23.54,0,0.09
D,5/1/2024,1,379,UN.COBBLEMT69  COBB,NETWORK NODE,23.55,23.54,0,0.01
D,5/1/2024,1,382,UN.MERIMACK13.8CT-1,NETWORK NODE,23.36,23.54,0,-0.18
D,5/1/2024,1,383,UN.MERIMACK13.8CT-2,NETWORK NODE,23.36,23.54,0,-0.18
D,5/1/2024,1,388,UN.DARTMTH 13.8DART,NETWORK NODE,23.89,23.54,0,0.35
D,5/1/2024,1,389,UN.INDIAN  13.8DERB,NETWORK NODE,23.68,23.54,0,0.14
D,5/1/2024,1,393,UN.DEERFLD569  DFL5,NETWORK NODE,24.29,23.54,0,0.75
D,5/1/2024,1,395,UN.DOREEN  23  DORE,NETWORK NODE,23.84,23.54,0,0.3
D,5/1/2024,1,396,UN.DEVON   13.8DV10,NETWORK NODE,23.42,23.54,0,-0.12
D,5/1/2024,1,397,UN.DEVON   13.2DV11,NETWORK NODE,23.38,23.54,0,-0.16
D,5/1/2024,1,398,UN.DEVON   13.2DV12,NETWORK NODE,23.38,23.54,0,-0.16
D,5/1/2024,1,399,UN.DEVON   13.2DV13,NETWORK NODE,23.38,23.54,0,-0.16
D,5/1/2024,1,400,UN.DEVON   13.2DV14,NETWORK NODE,23.38,23.54,0,-0.16
D,5/1/2024,1,401,UN.WEBSTER 34.5EAST,NETWORK NODE,23.56,23.54,0,0.02
D,5/1/2024,1,405,UN.ELLSWRTH34.5ELLS,NETWORK NODE,22.69,23.54,0,-0.85
D,5/1/2024,1,410,UN.ESSEX   34.5ESSH,NETWORK NODE,24.03,23.54,0,0.49
D,5/1/2024,1,412,UN.FALSVL  69  FALS,NETWORK NODE,23.98,23.54,0,0.44
D,5/1/2024,1,413,UN.DEERFLD569  FIFE,NETWORK NODE,24.29,23.54,0,0.75
D,5/1/2024,1,417,UN.FRAMNGHM13.8FMJ1,NETWORK NODE,23.68,23.54,0,0.14
D,5/1/2024,1,418,UN.FRAMNGHM13.8FMJ2,NETWORK NODE,23.68,23.54,0,0.14
D,5/1/2024,1,419,UN.FRAMNGHM13.8FMJ3,NETWORK NODE,23.68,23.54,0,0.14
D,5/1/2024,1,420,UN.FRNKLNDR13.2FRDR,NETWORK NODE,23.67,23.54,0,0.13
D,5/1/2024,1,421,UN.CHICOPEE13.8FRST,NETWORK NODE,23.57,23.54,0,0.03
D,5/1/2024,1,424,UN.POWERSVL115 GNRT,NETWORK NODE,22.39,23.54,0,-1.15
D,5/1/2024,1,426,UN.ESSEX   34.5GORD,NETWORK NODE,24.03,23.54,0,0.49
D,5/1/2024,1,427,UN.BERLN_NH34.5GORH,NETWORK NODE,22.45,23.54,0,-1.09
D,5/1/2024,1,432,UN.HARRIS  13.2HAR1,NETWORK NODE,22.5,23.54,0,-1.04
D,5/1/2024,1,433,UN.HARRIS  13.2HAR2,NETWORK NODE,22.5,23.54,0,-1.04
D,5/1/2024,1,434,UN.HARRIS  13.2HAR3,NETWORK NODE,22.5,23.54,0,-1.04
D,5/1/2024,1,435,UN.HARRIMAN6.9 HARR,NETWORK NODE,24.3,23.54,0,0.76
D,5/1/2024,1,436,UN.NORTH_RD34.5HEMP,NETWORK NODE,23.75,23.54,0,0.21
